年度,項目,管制編號,事業名稱,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,七大製造業
112,416,M3302600,台灣銅箔股份有限公司,"11,796.82","84,040.47","95,837.29",南投縣,銅製造業,鋼鐵業
112,333,T4203686,燁輝企業股份有限公司屏東廠,"14,357.51","12,073.56","26,431.07",屏東縣,金屬加工處理業,其他業
112,20,K6801123,長春石油化學股份有限公司苗栗二廠,"68,830.29","586,420.75","655,251.04",苗栗縣,化學原材料製造業,石化業
112,44,K7200933,華夏海灣塑膠股份有限公司頭份總廠,"29,583.74","75,042.86","104,626.60",苗栗縣,化學原材料製造業,石化業
112,59,k8000366,立安東化工股份有限公司三義廠,"47,834.05","12,239.56","60,073.61",苗栗縣,化學原材料製造業,石化業
112,73,K7201001,中國石油化學工業開發股份有限公司頭份廠,"16,383.22","16,515.41","32,898.63",苗栗縣,化學原材料製造業,石化業
112,122,K7195124,京元電子股份有限公司竹南分公司中華廠,"3,983.24","206,898.73","210,881.97",苗栗縣,半導體製造業,電子業
112,138,K71B0795,台灣積體電路製造股份有限公司先進封測六廠,"6,044.88","111,622.28","117,667.16",苗栗縣,半導體製造業,電子業
112,153,K7103046,超豐電子股份有限公司公義廠,776.3984,"72,423.79","73,200.19",苗栗縣,半導體製造業,電子業
112,155,K77A0619,京元電子股份有限公司銅鑼分公司廠,492.8841,"68,745.24","69,238.12",苗栗縣,半導體製造業,電子業
112,184,K71A8772,力晶積成電子製造股份有限公司8B,"3,257.55","37,687.58","40,945.13",苗栗縣,半導體製造業,電子業
112,202,K72A4864,超豐電子股份有限公司頭份廠,732.4041,"27,070.16","27,802.57",苗栗縣,半導體製造業,電子業
112,208,K6801089,長春石油化學股份有限公司 苗栗廠,"651,306.86","70,689.69","721,996.56",苗栗縣,未分類其他化學製品製造業,石化業
112,234,K71A1370,群創光電股份有限公司T2廠,"5,778.88","224,782.89","230,561.77",苗栗縣,光電材料及元件製造業,電子業
112,239,K7104025,群創光電股份有限公司T1廠,"3,180.31","113,744.40","116,924.71",苗栗縣,光電材料及元件製造業,電子業
112,240,K71A2695,群創光電股份有限公司T3廠,"3,132.91","73,213.02","76,345.93",苗栗縣,光電材料及元件製造業,電子業
112,247,K71A1805,達輝光電股份有限公司,"14,522.21","22,535.49","37,057.70",苗栗縣,光電材料及元件製造業,電子業
112,305,K7000504,臺鹽實業股份有限公司通霄精鹽廠,"24,583.77",891.67,"25,475.44",苗栗縣,其他食品製造業,其他業
112,320,K77A0481,達邁科技股份有限公司銅鑼廠,"12,538.27","19,928.36","32,466.63",苗栗縣,其他電子零組件製造業,電子業
112,360,K8201149,冠軍建材股份有限公司第二廠,"61,784.65","26,632.19","88,416.84",苗栗縣,耐火、黏土建材及其他陶瓷製品製造業,非金屬業
112,381,K72A2838,紡安股份有限公司頭份工廠,"8,649.62","24,731.62","33,381.23",苗栗縣,紡紗業,紡織業
112,433,K8100129,東和鋼鐵企業股份有限公司苗栗廠,"91,119.92","220,872.80","311,992.72",苗栗縣,鋼鐵製造業,鋼鐵業
112,443,K7000513,建順煉鋼股份有限公司,"42,299.93","87,285.45","129,585.38",苗栗縣,鋼鐵製造業,鋼鐵業
112,464,K7000764,台灣電力股份有限公司通霄發電廠,"9,409,395.33",825.186,"9,410,220.52",苗栗縣,電力供應業,電力業
112,3,H4801478,南亞塑膠工業股份有限公司工三廠,"118,898.49","236,198.26","355,096.75",桃園市,人造纖維製造業,石化業
112,4,H5300210,遠東新世紀股份有限公司觀音化學纖維廠,"85,397.13","81,647.04","167,044.17",桃園市,人造纖維製造業,石化業
112,8,H4801709,宏洲纖維工業股份有限公司桃園工廠,"9,046.85","17,539.90","26,586.75",桃園市,人造纖維製造業,石化業
112,25,H4601227,義芳化學工業股份有限公司桃園廠,"361,544.78","43,349.56","404,894.34",桃園市,化學原材料製造業,石化業
112,29,H53A3580,亞東石化股份有限公司觀音二廠,"222,833.30","73,229.90","296,063.21",桃園市,化學原材料製造業,石化業
112,43,H53B7163,三福氣體股份有限公司 觀音三廠,10.1584,"112,385.40","112,395.55",桃園市,化學原材料製造業,石化業
112,45,H5387833,三福氣體股份有限公司觀音二廠,503.2702,"87,441.06","87,944.33",桃園市,化學原材料製造業,石化業
112,50,H4603972,三義化學工業(股)公司桃園海湖廠,"7,409.27","73,274.51","80,683.78",桃園市,化學原材料製造業,石化業
112,69,H5300078,亞東石化股份有限公司,"23,271.64","19,008","42,279.64",桃園市,化學原材料製造業,石化業
112,76,H4701017,國聯矽業化學股份有限公司,"19,150.88","12,982.62","32,133.49",桃園市,化學原材料製造業,石化業
112,78,H48B1750,亞東工業氣體股份有限公司華亞氣體廠,8.9488,"27,174.74","27,183.69",桃園市,化學原材料製造業,石化業
112,212,H4601290,台硝股份有限公司桃園廠,"47,325.90","16,658.11","63,984.01",桃園市,未分類其他化學製品製造業,石化業
112,215,H4606848,台耀化學股份有限公司蘆竹廠,"8,307.09","27,042.35","35,349.44",桃園市,未分類其他化學製品製造業,石化業
112,221,H4803507,台灣中油股份有限公司煉製事業部桃園煉油廠,"1,415,346.46","174,968.69","1,590,315.14",桃園市,石油及煤製品製造業,石化業
112,404,H4500743,中興紡織廠股份有限公司楊梅化纖廠,"13,514.34","52,024.13","65,538.47",桃園市,塑膠及合成橡膠原料製造業,石化業
112,406,H4501008,萬洲化學股份有限公司楊梅一廠,"26,950.49","12,803.83","39,754.32",桃園市,塑膠及合成橡膠原料製造業,石化業
112,412,H4406937,新科光電材料股份有限公司桃園廠,"9,894.31","50,736.57","60,630.88",桃園市,塑膠製品製造業,石化業
112,284,H4302318,六和機械股份有限公司,"8,041.60","32,296.26","40,337.86",桃園市,汽車零件製造業,其他業
112,286,H4303235,國瑞汽車股份有限公司中壢工廠,"10,099.27","28,600.10","38,699.37",桃園市,車體製造業,其他業
112,288,H4501339,統一企業股份有限公司楊梅廠,"12,432.96","14,181.75","26,614.72",桃園市,乳品製造業,其他業
112,301,H4602199,義美食品股份有限公司南崁廠,"21,637.52","32,223.14","53,860.66",桃園市,其他食品製造業,其他業
112,303,H4602313,環泰企業股份有限公司南崁廠,"28,149.02","4,620.59","32,769.62",桃園市,其他食品製造業,其他業
112,304,H4302523,金車股份有限公司中壢廠,"16,176.87","15,540.37","31,717.24",桃園市,其他食品製造業,其他業
112,387,H48A3353,晶碩光學股份有限公司,149.8216,"39,809.83","39,959.65",桃園市,眼鏡製造業,其他業
112,89,H53A7443,晉瑜企業股份有限公司觀音廠,"4,351.73","26,262.23","30,613.96",桃園市,水泥及其製品製造業,非金屬業
112,298,H4604488,環球水泥股份有限公司海湖石膏板廠,"29,385.14","5,460.08","34,845.22",桃園市,其他非金屬礦物製品製造業,非金屬業
112,353,H5300916,台灣玻璃工業股份有限公司桃園廠,"34,594.14","47,791.54","82,385.68",桃園市,玻璃及其製品製造業,非金屬業
112,361,H4500850,白馬窯業股份有限公司楊梅廠,"20,788.48","9,011.75","29,800.23",桃園市,耐火、黏土建材及其他陶瓷製品製造業,非金屬業
112,9,H4701071,科德寶遠東股份有限公司,"3,473.73","30,592.83","34,066.55",桃園市,不織布業,紡織業
112,337,H4500458,力鵬企業股份有限公司楊梅廠,"57,705.18","20,506.07","78,211.24",桃園市,染整業,紡織業
112,339,H4202215,新隆纖維染整股份有限公司桃園廠,"35,121.08","6,942.08","42,063.17",桃園市,染整業,紡織業
112,340,H4600579,大同染整股份有限公司桃園廠,"27,561.05","6,690.74","34,251.79",桃園市,染整業,紡織業
112,341,H47A0889,連大興有限公司,"18,379.71","13,063.02","31,442.73",桃園市,染整業,紡織業
112,342,H53A6138,東齊染整股份有限公司,"25,003.95","5,650.37","30,654.32",桃園市,染整業,紡織業
112,344,H5300363,銓盟企業股份有限公司,"21,060.96","4,459.63","25,520.59",桃園市,染整業,紡織業
112,375,H5100952,新光合成纖維股份有限公司中壢廠,"92,771.26","150,351.44","243,122.69",桃園市,紡紗業,紡織業
112,376,H5304165,集盛實業股份有限公司第三廠,"8,107.01","41,530.10","49,637.12",桃園市,紡紗業,紡織業
112,378,H5303524,新光合成纖維股份有限公司觀音廠,"13,794.75","30,255.72","44,050.47",桃園市,紡紗業,紡織業
112,379,H5307693,集盛實業股份有限公司觀音廠,"14,726.82","25,981.95","40,708.77",桃園市,紡紗業,紡織業
112,456,H4502201,建榮工業材料股份有限公司楊梅廠,"8,926.83","17,292.37","26,219.20",桃園市,織布業,紡織業
112,306,H5200215,永豐餘工業用紙股份有限公司新屋廠,"592,228.03","22,735.75","614,963.78",桃園市,其他紙製品製造業,造紙業
