年度,項目,管制編號,事業名稱,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,七大製造業
112,195,J59B2542,晶兆成科技股份有限公司二廠,348.9635,"30,050.23","30,399.20",新竹縣,半導體製造業,電子業
112,199,J5909010,欣銓科技股份有限公司新工一廠,550.01,"28,659.66","29,209.67",新竹縣,半導體製造業,電子業
112,203,J59B0259,南茂科技股份有限公司湖口一廠,"1,189.50","26,513.28","27,702.78",新竹縣,半導體製造業,電子業
112,204,J59B1316,力成科技股份有限公司新興廠,"1,932.23","24,933.17","26,865.40",新竹縣,半導體製造業,電子業
112,244,J59A4937,元晶太陽能科技股份有限公司新竹廠,"7,025.94","36,363.43","43,389.37",新竹縣,光電材料及元件製造業,電子業
112,256,J61A1452,欣興電子股份有限公司新豐一廠,"8,312.96","113,330.64","121,643.60",新竹縣,印刷電路板製造業,電子業
112,263,J61A3270,景碩科技股份有限公司新豐一廠,"5,441.04","53,812.17","59,253.21",新竹縣,印刷電路板製造業,電子業
112,267,J5500491,台燿科技股份有限公司,"19,987.62","25,476.64","45,464.26",新竹縣,印刷電路板製造業,電子業
112,276,J5905343,旭德科技股份有限公司,"2,666.41","27,975.02","30,641.43",新竹縣,印刷電路板製造業,電子業
112,277,J5902468,台豐印刷電路工業股份有限公司新竹第一工廠,752.13,"29,849.08","30,601.21",新竹縣,印刷電路板製造業,電子業
112,279,J59B2582,欣興電子股份有限公司仁義一廠,"1,017.04","29,016.97","30,034.00",新竹縣,印刷電路板製造業,電子業
112,282,J61A3280,景碩科技股份有限公司新豐二廠,256.7606,"25,204.12","25,460.88",新竹縣,印刷電路板製造業,電子業
112,315,J5909547,力成科技股份有限公司湖口廠,"1,214.22","42,983.87","44,198.10",新竹縣,其他電子零組件製造業,電子業
112,321,J6203071,台星科股份有限公司,"3,274.88","28,685.99","31,960.87",新竹縣,其他電子零組件製造業,電子業
112,1,Q7100254,台灣化學纖維股份有限公司新港廠,"2,067,217.00","19,357.23","2,086,574.24",嘉義縣,人造纖維製造業,石化業
112,285,Q68A1602,和大工業股份有限公司嘉義廠,"2,122.81","25,415.71","27,538.52",嘉義縣,汽車零件製造業,其他業
112,343,Q76A0767,曜智實業股份有限公司嘉義廠,"25,143.77","5,376.84","30,520.60",嘉義縣,染整業,紡織業
112,347,Q7100245,台灣必成股份有限公司新港廠,"40,358.44","114,311.00","154,669.44",嘉義縣,玻璃及其製品製造業,非金屬業
112,356,Q6901613,福隆玻璃纖維股份有限公司,"21,530.80","28,319.14","49,849.95",嘉義縣,玻璃及其製品製造業,非金屬業
112,394,Q7100754,台灣塑膠工業股份有限公司新港廠,"9,172.96","254,840.06","264,013.02",嘉義縣,塑膠及合成橡膠原料製造業,石化業
112,409,Q7100272,南亞塑膠工業股份有限公司新港廠,"41,834.16","700,132.67","741,966.83",嘉義縣,塑膠製品製造業,石化業
112,410,Q7600375,南亞塑膠工業股份有限公司嘉義廠,"14,883.63","74,318.15","89,201.78",嘉義縣,塑膠製品製造業,石化業
112,470,Q6907286,嘉惠電力股份有限公司,"1,756,929.01","18,091.32","1,775,020.33",嘉義縣,電力供應業,電力業
112,5,N2904318,力鵬企業股份有限公司彰化尼龍總廠,"69,916.34","60,357.44","130,273.78",彰化縣,人造纖維製造業,石化業
112,6,N2902234,力麗企業股份有限公司彰化化纖總廠,"48,275.70","63,742.82","112,018.52",彰化縣,人造纖維製造業,石化業
112,48,N1607141,台灣鋼聯股份有限公司,"73,123.37","9,399.67","82,523.04",彰化縣,化學原材料製造業,石化業
112,55,N16A1755,長春人造樹脂廠股份有限公司彰濱廠,"45,305.46","25,204.28","70,509.74",彰化縣,化學原材料製造業,石化業
112,65,N15A2520,長春石油化學股份有限公司彰濱廠,"38,510.37","11,989.30","50,499.67",彰化縣,化學原材料製造業,石化業
112,88,N16A0638,晉瑜企業股份有限公司彰濱廠,"6,651.94","32,505.99","39,157.93",彰化縣,水泥及其製品製造業,非金屬業
112,141,N0911075,矽品精密工業股份有限公司彰化廠,"1,424.04","109,078.58","110,502.62",彰化縣,半導體製造業,電子業
112,289,N1601229,慶欣欣鋼鐵股份有限公司,"136,601.74","215,342.11","351,943.85",彰化縣,其他金屬製品製造業,其他業
112,348,N08A1098,台灣玻璃工業股份有限公司鹿港平板廠,"107,631.88","14,734.85","122,366.73",彰化縣,玻璃及其製品製造業,非金屬業
112,350,N0803765,台灣玻璃工業股份有限公司鹿港廠,"30,529.40","77,044.82","107,574.22",彰化縣,玻璃及其製品製造業,非金屬業
112,364,N1400562,榮成紙業股份有限公司,"232,555.03","262,149.96","494,705.00",彰化縣,紙漿、紙及紙板製造業,造紙業
112,367,N14A1507,榮成紙業股份有限公司蒸汽廠,"252,626.29",,"252,626.29",彰化縣,紙漿、紙及紙板製造業,造紙業
112,423,N2100552,正新橡膠工業股份有限公司,"23,511.65","26,832.50","50,344.15",彰化縣,橡膠製品製造業,其他業
112,425,N3200337,正新橡膠工業股份有限公司溪州廠,"6,980.85","22,226.44","29,207.30",彰化縣,橡膠製品製造業,其他業
112,472,N1505633,星元電力股份有限公司,"1,074,511.01","2,181.50","1,076,692.51",彰化縣,電力供應業,電力業
112,474,N1504207,星能電力股份有限公司,"1,035,912.17","2,614.25","1,038,526.42",彰化縣,電力供應業,電力業
112,479,X0501232,台灣電力股份有限公司尖山發電廠,"169,887.18",219.336,"170,106.51",澎湖縣,電力供應業,電力業
,,,,,,,,,
,,,,,,,,,
,1~456(製造業),,,"90,347,290","53,423,486","143,770,776.00",,,
,1~482,,,"214,134,641","53,558,504","267,693,144.46",,,
